"SECCION","ALBERTO_JIMENEZ","ENRIQUE_CARDENAS","MIGUEL_BARBOSA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","aj_porc","ec_porc","mb_porc","no_reg_porc","nulos_porc","parti_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"674",440,132,712,1,52,1337,3042,32.91,9.87,53.25,0.07,3.89,43.95,56.05,"MIGUEL_BARBOSA",53.25,"3"
"675",56,30,95,0,9,190,348,29.47,15.79,50,0,4.74,54.6,45.4,"MIGUEL_BARBOSA",50,"3"
"676",221,69,353,0,14,657,1518,33.64,10.5,53.73,0,2.13,43.28,56.72,"MIGUEL_BARBOSA",53.73,"3"
"677",321,95,360,0,47,823,2050,39,11.54,43.74,0,5.71,40.15,59.85,"MIGUEL_BARBOSA",43.74,"3"
"678",224,121,451,2,50,848,2284,26.42,14.27,53.18,0.24,5.9,37.13,62.87,"MIGUEL_BARBOSA",53.18,"3"
"679",224,87,291,0,20,622,1534,36.01,13.99,46.78,0,3.22,40.55,59.45,"MIGUEL_BARBOSA",46.78,"3"
"68",237,78,253,1,22,591,1351,40.1,13.2,42.81,0.17,3.72,43.75,56.25,"MIGUEL_BARBOSA",42.81,"3"
"680",44,5,73,0,3,125,300,35.2,4,58.4,0,2.4,41.67,58.33,"MIGUEL_BARBOSA",58.4,"3"
"681",146,46,306,0,21,519,1318,28.13,8.86,58.96,0,4.05,39.38,60.62,"MIGUEL_BARBOSA",58.96,"3"
"682",127,82,294,0,24,527,2048,24.1,15.56,55.79,0,4.55,25.73,74.27,"MIGUEL_BARBOSA",55.79,"3"
"683",228,50,266,0,30,574,1507,39.72,8.71,46.34,0,5.23,38.09,61.91,"MIGUEL_BARBOSA",46.34,"3"
"684",144,31,135,0,8,318,689,45.28,9.75,42.45,0,2.52,46.15,53.85,"ALBERTO_JIMENEZ",45.28,"1"
"685",543,54,157,0,23,777,1462,69.88,6.95,20.21,0,2.96,53.15,46.85,"ALBERTO_JIMENEZ",69.88,"1"
"686",210,70,232,0,28,540,1344,38.89,12.96,42.96,0,5.19,40.18,59.82,"MIGUEL_BARBOSA",42.96,"3"
"687",213,87,274,0,33,607,1888,35.09,14.33,45.14,0,5.44,32.15,67.85,"MIGUEL_BARBOSA",45.14,"3"
"688",208,60,155,0,21,444,1033,46.85,13.51,34.91,0,4.73,42.98,57.02,"ALBERTO_JIMENEZ",46.85,"1"
"689",64,12,30,0,1,107,254,59.81,11.21,28.04,0,0.93,42.13,57.87,"ALBERTO_JIMENEZ",59.81,"1"
"69",91,66,130,0,10,297,1039,30.64,22.22,43.77,0,3.37,28.59,71.41,"MIGUEL_BARBOSA",43.77,"3"
"690",183,111,363,0,38,695,2176,26.33,15.97,52.23,0,5.47,31.94,68.06,"MIGUEL_BARBOSA",52.23,"3"
"691",112,59,110,0,10,291,685,38.49,20.27,37.8,0,3.44,42.48,57.52,"ALBERTO_JIMENEZ",38.49,"1"
"692",172,57,263,0,28,520,1275,33.08,10.96,50.58,0,5.38,40.78,59.22,"MIGUEL_BARBOSA",50.58,"3"
"693",354,78,156,0,37,625,1191,56.64,12.48,24.96,0,5.92,52.48,47.52,"ALBERTO_JIMENEZ",56.64,"1"
"694",202,49,116,0,40,407,795,49.63,12.04,28.5,0,9.83,51.19,48.81,"ALBERTO_JIMENEZ",49.63,"1"
"695",589,67,312,0,54,1022,2186,57.63,6.56,30.53,0,5.28,46.75,53.25,"ALBERTO_JIMENEZ",57.63,"1"
"696",358,45,513,0,50,966,2973,37.06,4.66,53.11,0,5.18,32.49,67.51,"MIGUEL_BARBOSA",53.11,"3"
"697",187,15,153,0,24,379,1111,49.34,3.96,40.37,0,6.33,34.11,65.89,"ALBERTO_JIMENEZ",49.34,"1"
"698",430,76,421,0,64,991,2589,43.39,7.67,42.48,0,6.46,38.28,61.72,"ALBERTO_JIMENEZ",43.39,"1"
"699",82,19,162,0,22,285,914,28.77,6.67,56.84,0,7.72,31.18,68.82,"MIGUEL_BARBOSA",56.84,"3"
"7",128,173,164,0,4,469,2910,27.29,36.89,34.97,0,0.85,16.12,83.88,"ENRIQUE_CARDENAS",36.89,"2"
"70",213,80,274,0,30,597,1342,35.68,13.4,45.9,0,5.03,44.49,55.51,"MIGUEL_BARBOSA",45.9,"3"
"700",335,48,257,1,34,675,2134,49.63,7.11,38.07,0.15,5.04,31.63,68.37,"ALBERTO_JIMENEZ",49.63,"1"
"701",205,71,192,0,14,482,1397,42.53,14.73,39.83,0,2.9,34.5,65.5,"ALBERTO_JIMENEZ",42.53,"1"
"702",162,100,206,0,7,475,1503,34.11,21.05,43.37,0,1.47,31.6,68.4,"MIGUEL_BARBOSA",43.37,"3"
"703",67,42,352,0,9,470,1202,14.26,8.94,74.89,0,1.91,39.1,60.9,"MIGUEL_BARBOSA",74.89,"3"
"704",3,10,337,0,6,356,1102,0.84,2.81,94.66,0,1.69,32.3,67.7,"MIGUEL_BARBOSA",94.66,"3"
"705",7,10,235,0,12,264,784,2.65,3.79,89.02,0,4.55,33.67,66.33,"MIGUEL_BARBOSA",89.02,"3"
"706",106,24,281,0,9,420,1359,25.24,5.71,66.9,0,2.14,30.91,69.09,"MIGUEL_BARBOSA",66.9,"3"
"707",143,21,207,0,5,376,930,38.03,5.59,55.05,0,1.33,40.43,59.57,"MIGUEL_BARBOSA",55.05,"3"
"708",43,7,232,0,3,285,789,15.09,2.46,81.4,0,1.05,36.12,63.88,"MIGUEL_BARBOSA",81.4,"3"
"709",410,113,601,0,30,1154,2658,35.53,9.79,52.08,0,2.6,43.42,56.58,"MIGUEL_BARBOSA",52.08,"3"
