"SECCION","ALBERTO_JIMENEZ","ENRIQUE_CARDENAS","MIGUEL_BARBOSA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","aj_porc","ec_porc","mb_porc","no_reg_porc","nulos_porc","parti_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"2539",96,363,191,0,52,702,2033,13.68,51.71,27.21,0,7.41,34.53,65.47,"ENRIQUE_CARDENAS",51.71,"2"
"254",104,138,226,0,10,478,934,21.76,28.87,47.28,0,2.09,51.18,48.82,"MIGUEL_BARBOSA",47.28,"3"
"2540",9,15,14,0,1,39,81,23.08,38.46,35.9,0,2.56,48.15,51.85,"ENRIQUE_CARDENAS",38.46,"2"
"2541",38,200,294,0,34,566,1449,6.71,35.34,51.94,0,6.01,39.06,60.94,"MIGUEL_BARBOSA",51.94,"3"
"2542",18,85,137,0,27,267,608,6.74,31.84,51.31,0,10.11,43.91,56.09,"MIGUEL_BARBOSA",51.31,"3"
"2543",18,139,38,1,13,209,391,8.61,66.51,18.18,0.48,6.22,53.45,46.55,"ENRIQUE_CARDENAS",66.51,"2"
"2544",26,45,60,0,19,150,506,17.33,30,40,0,12.67,29.64,70.36,"MIGUEL_BARBOSA",40,"3"
"2545",145,375,286,0,106,912,2088,15.9,41.12,31.36,0,11.62,43.68,56.32,"ENRIQUE_CARDENAS",41.12,"2"
"2546",18,53,56,0,9,136,260,13.24,38.97,41.18,0,6.62,52.31,47.69,"MIGUEL_BARBOSA",41.18,"3"
"2547",36,290,304,0,31,661,1161,5.45,43.87,45.99,0,4.69,56.93,43.07,"MIGUEL_BARBOSA",45.99,"3"
"2548",99,279,192,2,48,620,1885,15.97,45,30.97,0.32,7.74,32.89,67.11,"ENRIQUE_CARDENAS",45,"2"
"2549",11,51,70,1,4,137,544,8.03,37.23,51.09,0.73,2.92,25.18,74.82,"MIGUEL_BARBOSA",51.09,"3"
"255",34,55,37,0,4,130,257,26.15,42.31,28.46,0,3.08,50.58,49.42,"ENRIQUE_CARDENAS",42.31,"2"
