ID_ESTADO,ESTADO,ID_DISTRITO,DISTRITO_FEDERAL,MUNICIPIO,SECCION
21,PUEBLA,1,1,58,502
21,PUEBLA,1,1,58,503
21,PUEBLA,1,1,58,504
21,PUEBLA,1,1,65,535
21,PUEBLA,1,1,65,536
21,PUEBLA,1,1,65,537
21,PUEBLA,1,1,65,538
21,PUEBLA,1,1,65,539
21,PUEBLA,1,1,65,540
21,PUEBLA,1,1,65,541
21,PUEBLA,1,1,65,542
21,PUEBLA,1,1,65,543
21,PUEBLA,1,1,88,764
21,PUEBLA,1,1,88,765
21,PUEBLA,1,1,88,766
21,PUEBLA,1,1,88,767
21,PUEBLA,1,1,88,768
21,PUEBLA,1,1,88,769
21,PUEBLA,1,1,101,830
21,PUEBLA,1,1,101,831
21,PUEBLA,1,1,101,832
21,PUEBLA,1,1,101,833
21,PUEBLA,1,1,101,834
21,PUEBLA,1,1,110,883
21,PUEBLA,1,1,110,884
21,PUEBLA,1,1,110,885
21,PUEBLA,1,1,110,886
21,PUEBLA,1,1,110,887
21,PUEBLA,1,1,110,888
21,PUEBLA,1,1,110,889
21,PUEBLA,1,1,110,890
21,PUEBLA,1,1,110,891
21,PUEBLA,1,1,110,892
21,PUEBLA,1,1,110,893
21,PUEBLA,1,1,110,894
21,PUEBLA,1,1,110,895
21,PUEBLA,1,1,110,896
21,PUEBLA,1,1,112,912
21,PUEBLA,1,1,112,913
21,PUEBLA,1,1,112,914
21,PUEBLA,1,1,112,915
21,PUEBLA,1,1,112,916
21,PUEBLA,1,1,112,917
21,PUEBLA,1,1,112,918
21,PUEBLA,1,1,112,919
21,PUEBLA,1,1,112,920
21,PUEBLA,1,1,112,921
21,PUEBLA,1,1,178,2209
21,PUEBLA,1,1,178,2210
21,PUEBLA,1,1,178,2211
21,PUEBLA,1,1,178,2212
21,PUEBLA,1,1,178,2213
21,PUEBLA,1,1,178,2214
21,PUEBLA,1,1,178,2215
21,PUEBLA,1,1,178,2216
21,PUEBLA,1,1,178,2217
21,PUEBLA,1,1,178,2218
21,PUEBLA,1,1,187,2295
21,PUEBLA,1,1,187,2296
21,PUEBLA,1,1,187,2297
21,PUEBLA,1,1,187,2298
21,PUEBLA,1,1,194,2333
21,PUEBLA,1,1,194,2334
21,PUEBLA,1,1,194,2335
21,PUEBLA,1,1,194,2336
21,PUEBLA,1,1,194,2337
21,PUEBLA,1,1,194,2338
21,PUEBLA,1,1,194,2339
21,PUEBLA,1,1,194,2340
21,PUEBLA,1,1,194,2341
21,PUEBLA,1,1,194,2342
21,PUEBLA,1,1,194,2343
21,PUEBLA,1,1,194,2344
21,PUEBLA,1,1,194,2345
21,PUEBLA,1,1,194,2346
21,PUEBLA,1,1,194,2347
21,PUEBLA,1,1,194,2348
